room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,rooms_per_host,population,city_size,log_price
Shared room,Gent,Gent,9,4.5,2,1,59,51.034197,3.714149,1,231493,large,4.07753744390572
Shared room,Brussel,Schaarbeek,2,NA,2,1,53,50.869153,4.384435,1,1019022,large,3.970291913552122
Shared room,Brussel,Elsene,12,4,2,1,46,50.828293,4.37659,1,1019022,large,3.828641396489095
Shared room,Oostende,Middelkerke,19,4.5,4,1,56,51.1905,2.822373,1,69011,small,4.02535169073515
Shared room,Brussel,Anderlecht,5,5,2,1,47,50.839715,4.33385,3,1019022,large,3.8501476017100584
Shared room,Brussel,Koekelberg,28,5,4,1,60,50.859097,4.336969,1,1019022,large,4.0943445622221
Shared room,Gent,Gent,2,NA,2,1,41,51.055076,3.746806,1,231493,large,3.713572066704308
Shared room,Brussel,Elsene,13,4,2,1,36,50.814246,4.384256,2,1019022,large,3.58351893845611
Shared room,Verviers,Baelen,2,NA,8,1,18,50.633197,5.950236,2,52824,small,2.8903717578961645
Shared room,Brussel,Etterbeek,57,4.5,3,1,38,50.837711,4.394056,1,1019022,large,3.6375861597263857
Shared room,Tournai,Brunehaut,1,NA,4,1,14,50.517705,3.384048,4,67721,small,2.6390573296152584
Shared room,Brussel,Etterbeek,0,NA,2,1,37,50.827489,4.384322,1,1019022,large,3.6109179126442243
Shared room,Gent,Gent,143,5,2,1,28,51.03783,3.714062,1,231493,large,3.332204510175204
Shared room,Arlon,Arlon,0,NA,1,1,177,49.686412,5.830874,1,26179,small,5.176149732573829
Shared room,Kortrijk,Waregem,1,NA,4,1,147,50.876171,3.401739,1,73879,small,4.990432586778736
Shared room,Antwerpen,Boom,3,4.5,2,1,177,51.093157,4.380444,2,459805,large,5.176149732573829
Shared room,Verviers,Büllingen,0,NA,2,1,129,50.406102,6.264116,11,52824,small,4.859812404361672
Shared room,Verviers,Büllingen,0,NA,2,1,140,50.40801,6.262573,11,52824,small,4.941642422609304
Shared room,Gent,Gent,9,5,2,1,141,51.051145,3.746296,5,231493,large,4.948759890378168
Shared room,Brussel,Sint-Jans-Molenbeek,0,NA,5,1,136,50.861776,4.342785,1,1019022,large,4.912654885736052
Shared room,Leuven,Rotselaar,1,NA,2,1,132,50.978064,4.69259,1,92892,small,4.882801922586371
Shared room,Brugge,Jabbeke,0,NA,1,1,117,51.18761,3.144082,1,116709,large,4.762173934797756
Shared room,Ath,Ath,0,NA,6,1,106,50.628326,3.685758,1,26681,small,4.663439094112067
Shared room,Leuven,Leuven,3,5,1,1,116,50.878261,4.713825,1,92892,small,4.7535901911063645
Shared room,Tongeren,Voeren,13,4.5,2,1,106,50.756546,5.718163,8,29816,small,4.663439094112067
Shared room,Leuven,Leuven,4,5,2,1,117,50.881494000000004,4.691884,6,92892,small,4.762173934797756
Shared room,Brussel,Anderlecht,0,NA,1,1,95,50.838564,4.33206,1,1019022,large,4.553876891600541
Shared room,Turnhout,Kasterlee,3,5,4,1,95,51.228119,4.930936,2,39654,small,4.553876891600541
Shared room,Brussel,Vorst,0,NA,1,1,89,50.818697,4.341872,1,1019022,large,4.48863636973214
Shared room,Brussel,Brussel,0,NA,2,1,90,50.898311,4.336556,1,1019022,large,4.499809670330265
Shared room,Antwerpen,Antwerpen,22,4,10,1,99,51.200558,4.433329,9,459805,large,4.59511985013459
Shared room,Brugge,Brugge,6,4.5,4,1,95,51.203088,3.244146,1,116709,large,4.553876891600541
Shared room,Dinant,Dinant,0,NA,2,1,89,50.257686,4.91404,1,NA,NA,4.48863636973214
Shared room,Nivelles,Hélécine,1,NA,6,1,100,50.745111,4.934819,2,24149,small,4.605170185988092
Shared room,Tongeren,Lanaken,0,NA,2,1,79,50.877988,5.633104,1,29816,small,4.3694478524670215
Shared room,Brussel,Sint-Gillis,0,NA,2,1,70,50.827729,4.347191,1,1019022,large,4.248495242049359
Shared room,Brussel,Elsene,0,NA,2,1,65,50.824599,4.365674,1,1019022,large,4.174387269895637
Shared room,Brussel,Brussel,0,NA,1,1,68,50.845692,4.360315,1,1019022,large,4.219507705176107
Shared room,Antwerpen,Antwerpen,1,NA,4,1,71,51.209321,4.405143,1,459805,large,4.2626798770413155
Shared room,Leuven,Leuven,2,NA,1,1,82,50.874569,4.695641,1,92892,small,4.406719247264253
Shared room,Verviers,Plombières,11,4.5,3,1,70,50.723447,5.920079,4,52824,small,4.248495242049359
Shared room,Antwerpen,Antwerpen,15,3.5,16,1,71,51.199798,4.432769,9,459805,large,4.2626798770413155
Shared room,Antwerpen,Antwerpen,0,NA,16,1,71,51.199858,4.431762,9,459805,large,4.2626798770413155
Shared room,Brussel,Ukkel,0,NA,2,1,82,50.803101,4.330031,1,1019022,large,4.406719247264253
Shared room,Mechelen,Mechelen,5,5,2,1,64,51.018214,4.475771,3,77530,small,4.1588830833596715
Shared room,Namur,Gembloux,1,NA,6,1,64,50.562263,4.693185,1,106284,large,4.1588830833596715
Shared room,Brussel,Elsene,2,NA,1,1,82,50.82832,4.366101,1,1019022,large,4.406719247264253
Shared room,Brussel,Sint-Gillis,0,NA,1,1,47,50.832628,4.341818,2,1019022,large,3.8501476017100584
Shared room,Brussel,Watermaal-Bosvoorde,2,NA,2,1,46,50.813049,4.392019,2,1019022,large,3.828641396489095
Shared room,Liège,Beyne-Heusay,1,NA,3,1,47,50.626016,5.669507,1,182597,large,3.8501476017100584
Shared room,Brussel,Etterbeek,0,NA,2,1,47,50.840268,4.398018,1,1019022,large,3.8501476017100584
Shared room,Oostende,Oostende,1,NA,4,1,59,51.227985,2.909811,1,69011,small,4.07753744390572
Shared room,Halle-Vilvoorde,Kraainem,0,NA,2,1,53,50.861061,4.462216,2,NA,NA,3.970291913552122
Shared room,Mechelen,Willebroek,2,NA,4,1,59,51.058433,4.375601,5,77530,small,4.07753744390572
Shared room,Liège,Liège,2,NA,2,1,53,50.626256,5.591142,1,182597,large,3.970291913552122
Shared room,Gent,Gent,1,NA,1,1,42,51.071604,3.738945,2,231493,large,3.7376696182833684
Shared room,Virton,Chiny,0,NA,4,1,53,49.692007,5.376605,1,NA,NA,3.970291913552122
Shared room,Turnhout,Mol,1,NA,4,1,47,51.191173,5.117984,3,39654,small,3.8501476017100584
Shared room,Brussel,Schaarbeek,0,NA,2,1,47,50.850668,4.394058,1,1019022,large,3.8501476017100584
Shared room,Brussel,Sint-Lambrechts-Woluwe,0,NA,1,1,53,50.84691,4.41669,1,1019022,large,3.970291913552122
Shared room,Antwerpen,Niel,3,4.5,10,1,41,51.102641,4.350545,4,459805,large,3.713572066704308
Shared room,Verviers,Theux,2,NA,2,1,44,50.487375,5.833757,1,52824,small,3.784189633918261
Shared room,Mechelen,Willebroek,0,NA,2,1,58,51.059127,4.381346,2,77530,small,4.060443010546419
Shared room,Antwerpen,Niel,2,NA,4,1,47,51.102596,4.356281,4,459805,large,3.8501476017100584
Shared room,Brussel,Brussel,14,5,2,1,53,50.845459,4.351837,1,1019022,large,3.970291913552122
Shared room,Tongeren,Voeren,14,4,2,1,47,50.756035,5.718123,8,29816,small,3.8501476017100584
Shared room,Mechelen,Willebroek,1,NA,4,1,41,51.080782,4.398912,1,77530,small,3.713572066704308
Shared room,Nivelles,Rixensart,4,4.5,2,1,44,50.709505,4.53497,1,24149,small,3.784189633918261
Shared room,Mons,Mons,0,NA,2,1,43,50.470363,3.917261,1,91277,small,3.7612001156935624
Shared room,Oostende,Middelkerke,12,4.5,2,1,41,51.188765,2.817301,1,69011,small,3.713572066704308
Shared room,Brussel,Elsene,0,NA,2,1,59,50.822804,4.380201,1,1019022,large,4.07753744390572
Shared room,Brussel,Brussel,56,4,2,1,47,50.841167,4.344604,1,1019022,large,3.8501476017100584
